Diameter,Thickness,Mass,Restitution,Force,Force application Time,Lateral friction,Spinning friction,Rolling friction,Distance between coins,Linear damping,Angular damping,Heads,Tails,Side,Total
17.3,10.0,5.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,11863,12085,26052,50000
17.3,10.0,5.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,11917,11624,26459,50000
17.3,10.0,5.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,11340,11062,27598,50000
17.3,10.0,5.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,11247,11005,27748,50000
17.3,10.0,10.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,14322,14194,21484,50000
17.3,10.0,10.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,14306,14148,21546,50000
17.3,10.0,10.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,13438,13410,23152,50000
17.3,10.0,10.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,13463,13411,23126,50000
17.3,10.0,15.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,15042,15231,19727,50000
17.3,10.0,15.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,15037,15089,19874,50000
17.3,10.0,15.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,14454,14136,21410,50000
17.3,10.0,15.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,14316,14012,21672,50000
17.3,10.0,20.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,15476,15587,18937,50000
17.3,10.0,20.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,15542,15505,18953,50000
17.3,10.0,20.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,14722,14764,20514,50000
17.3,10.0,20.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,14439,14494,21067,50000
